razao	cliente	bairro	cidade	uf	pre	logradouro	numero	cep	endereco	Latitude	Longitude	Endereco Formatado
Brilhante & Sousa Ltda Me	Brilhante & Sousa	Cidade Velha	Belém	PA	Tv	Gurupá	40	66020320	Tv. Gurupá, 40 - Cidade Velha, Belém - Belém, Brasil	-1,459939	-48,5053289	Tv. Gurupá, 40 - Cidade Velha, Belém - PA, 66020-320, Brazil
Brisa Comércio de Esquadrias Ltda EPP	Brisa Com	Jd. Do Eden	Itapecerica da Serra	SP	Rod	José Simões Louro Júnior	14608	6865800	Rod. José Simões Louro Júnior, 14608 - Jd. Do Eden, Itapecerica da Serra - Itapecerica da Serra, Brasil	-23,7459637	-46,7929182	Rod. José Simões Louro Júnior, 14608 - Jardim Sonia Maria, Itapecerica da Serra - SP, Brazil
Britacon Comércio Materiais Constr Ltda Epp	Britacon Com Mat Constr Ltda Epp	Centro	Canela	RS	R	Batista Luzardo 	382	95680000	R. Batista Luzardo , 382 - Centro, Canela - Canela, Brasil	-29,358205	-50,8071884	R. Batista Luzardo, 382 - Centro, Canela - RS, 95680-000, Brazil
Brizolari Materiais para Construção Ltda Me	Brizolari Mat P/ Constr Ltda ME	Vl. Sedenho	Araraquara	SP	Av	Manuel de Abreu	469	14806500	Av. Manuel de Abreu, 469 - Vl. Sedenho, Araraquara - Araraquara, Brasil	-21,7648445	-48,159298	Av. Manoel de Abreu, 469 - Vila Sedenho, Araraquara - SP, Brazil
Brogni Empreendimentos Imobiliários Ltda	Brogni Empreendimentos Imob Lt	Centro	Capão da Canoa	RS	Av	Paraguassu	2146	95555000	Av. Paraguassu, 2146 - Centro, Capão da Canoa - Capão da Canoa, Brasil	-29,7603025	-50,0185851	Av. Paraguassú, 2146, Capão da Canoa - RS, 95555-000, Brazil
Brondi Materiais para Construção Ltda Epp	Brondi Mat- Rede-RP-Construlíder	Jd. Esplanada	Altinópolis	SP	R	Amazonas 	672	14350000	R. Amazonas , 672 - Jd. Esplanada, Altinópolis - Altinópolis, Brasil	-21,0227981	-47,3742385	Altinópolis, State of São Paulo, 14350-000, Brazil
Bruna de Oliveira Fátima Me	Bruna de Oliveira Fátima Me	Getuba	Caraguatatuba	SP	Av	Marginal Direita	16	11676400	Av. Marginal Direita, 16 - Getuba, Caraguatatuba - Caraguatatuba, Brasil	-23,5967965	-45,3592454	Av. Marginal Direita, 16 - Indaia, Caraguatatuba - SP, Brazil
Bruno Leonardo Felipe Silva Me	Bruno Leonardo F Silva ME	Jd. Santo Andre	São Paulo	SP	R	Miguel Ferreira de Melo	765	8390000	R. Miguel Ferreira de Melo, 765 - Jd. Santo Andre, São Paulo - São Paulo, Brasil	-23,6304822	-46,443624	R. Miguel Ferreira de Melo, 765 - Jardim Santo Andre, São Paulo - SP, Brazil
Bruno Ricci Delle Piagge Me	Bruno Ricci	Sao Geraldo	Araraquara	SP	R	Carlos Gomes	3086	14801340	R. Carlos Gomes, 3086 - Sao Geraldo, Araraquara - Araraquara, Brasil	-21,781319	-48,18532	R. Carlos Gomes, 3086, Araraquara - SP, 14801-340, Brazil
Brutal Revestimentos Ltda EPP	Brutal Revestimentos Ltda EPP	Centro	Espírito Santo do Pinhal	SP	Av	Romualdo de Souza Brito	1355	13990000	Av. Romualdo de Souza Brito, 1355 - Centro, Espírito Santo do Pinhal - Espírito Santo do Pinhal, Brasil	-22,1907514	-46,75017	Av. Romualdo de Souza Brito, 1355, Espírito Santo do Pinhal - SP, 13990-000, Brazil
Bueno & Cechim Ltda	Bueno & Cechim	Nova Porto Velho	Porto Velho	RO	Av	Amazonas	2386	78906000	Av. Amazonas, 2386 - Nova Porto Velho, Porto Velho - Porto Velho, Brasil	-8,764002	-63,8800435	Av. Amazonas, 2386 - Nova Porto Velho, Porto Velho - RO, 76820-364, Brazil
Bueno & Fajarda Ltda ME	Bueno & Fajarda	Jd Cusatodio II Part	Marialva	PR	Av	Padre Theo Hermann	205	86990000	Av. Padre Theo Hermann, 205 - Jd Cusatodio II Part, Marialva - Marialva, Brasil			
Buriti Comércio de Materiais para Construção	Lojas Buriti - Centro	Alto Mirante	Itabuna	BA	Av	Juracy Magalhães	528	45603231	Av. Juracy Magalhães, 528 - Alto Mirante, Itabuna - Itabuna, Brasil	-14,7826707	-39,269648	Av. Juraci Magalhães, 528 - Alto Mirante, Itabuna - BA, Brazil
Bussola Com Material p/ Construção Ltda	Bussola Com Mat	Centro	Cacoal	RO	Av	Sete de Setembro	2701	76963851	Av. Sete de Setembro, 2701 - Centro, Cacoal - Cacoal, Brasil	-11,437606	-61,4453862	Av. Sete de Setembro, 2701 - Centro, Cacoal - RO, 76963-837, Brazil
Butantã Impermeabilizantes Ltda EPP	Butantã Imperm	Butantã	São Paulo	SP	Av	Dr Vital Brasil 	841	5503001	Av. Dr Vital Brasil , 841 - Butantã, São Paulo - São Paulo, Brasil	-23,5702641	-46,7124612	Av. Vital Brasil, 841 - Butantã, São Paulo - SP, 05503-001, Brazil
Buzzo Com de Mat p/ Construção Ltda EPP	Buzzo Com Mat Construção	Pq.N S da Candelária	Itu	SP	Av	Caetano Ruggieri 	2451	13310160	Av. Caetano Ruggieri , 2451 - Pq.N S da Candelária, Itu - Itu, Brasil	-23,2690399	-47,3120829	Av. Caetano Ruggieri, 2451 - Parque Res. Mayard, Itu - SP, Brazil
C 4 Materiais para Construções Ltda Epp	C 4 Materiais Construções Ltda Epp	Socorro	São Paulo	SP	R	Olivia Guedes Penteado	172	4766000	R. Olivia Guedes Penteado, 172 - Socorro, São Paulo - São Paulo, Brasil	-23,6689792	-46,712225	R. Olívia Guedes Penteado, 172 - Socorro, São Paulo - SP, Brazil
C A Custodio EPP	C A Custodio Epp.	Centro	Taquarituba	SP	R	Primeiro de Dezembro	451	18740000	R. Primeiro de Dezembro, 451 - Centro, Taquarituba - Taquarituba, Brasil	-23,5287915	-49,2466249	R. Primeiro de Dezembro, 451 - Centro, Taquarituba - SP, 18740-000, Brazil
C A Polizelli & Cia Ltda Me	C A Polizelli & Cia	Jd do Parque	Sarandi	PR	Av	Danilo Massuia	142	87114030	Av. Danilo Massuia, 142 - Jd do Parque, Sarandi - Sarandi, Brasil	-23,439994	-51,8681672	Av. Danilo Massuia, 142 - Jardim Independencia, Sarandi - PR, 87114-030, Brazil
C Amorim Cia Ltda	Casa Amorim - Bandeira	Centro	Vitória da Conquista	BA	Av	Regis Pacheco	251	45000755	Av. Regis Pacheco, 251 - Centro, Vitória da Conquista - Vitória da Conquista, Brasil	-14,8518839	-40,841961	Av. Régis Pachêco, 251 - Centro, Vitória da Conquista - BA, 45000-755, Brazil
C C de Vasconcelos                           	Casa Nova Construções	Trizidela	Caxias	MA	Av	Nossa Senhora de Nazaré	57	65608460	Av. Nossa Senhora de Nazaré, 57 - Trizidela, Caxias - Caxias, Brasil	-4,8652707	-43,3685372	Av. Nossa Sra. de Nazaré, 57 - Trizidela, Caxias - MA, Brazil
C C S Tintas Mat Constr Ltda Epp	C C S Tintas Mat Constr Ltda Epp	São Benedito	Uberaba	MG	R	Verissimo	382	38022090	R. Verissimo, 382 - São Benedito, Uberaba - Uberaba, Brasil	-19,7593429	-47,9434117	R. Veríssimo, 382 - São Benedito, Uberaba - MG, 38022-090, Brazil
C C Y Comércio de Tintas e Vernizes Ltda ME	C C Y Com Tintas Vernizes	Vl.Mariana	São Paulo	SP	R	Luiz Gois	1699	4043350	R. Luiz Gois, 1699 - Vl.Mariana, São Paulo - São Paulo, Brasil	-23,6040915	-46,6442875	Rua Luís Góis, 1699 - Mirandópolis, São Paulo - SP, 04043-350, Brazil
C E de Carvalho Comercio de Tintas Ltda ME	C E de Carvalho Com de Tintas	Jd. Santa Amelia	Hortolândia	SP	Av	dos Estudantes	711	13186020	Av. dos Estudantes, 711 - Jd. Santa Amelia, Hortolândia - Hortolândia, Brasil	-22,8828112	-47,2015635	R. dos Estudantes, 711 - Jardim Campos Verdes, Hortolândia - SP, Brazil
C F dos Santos Júnior ME	C F dos Santos	Entroncamento	Redenção	PA	Av	Araguaia	3361	68550000	Av. Araguaia, 3361 - Entroncamento, Redenção - Redenção, Brasil	-8,0448855	-50,0192771	Av. Araguaia, Redenção - PA, Brazil
C F J Material p/ Construção Ltda EPP	C F J Mat Const	Centro	Juquiá	SP	Av	Ver Osvaldo Florêncio	S/n	11800000	Av. Ver Osvaldo Florêncio, S/n - Centro, Juquiá - Juquiá, Brasil	-24,3205974	-47,638529	R. Ver. Osvaldo Florêncio, Juquiá - SP, 11800-000, Brazil
C H Nero Incorporadora e Construtora Ltda ME	C H Nero Incorp Construtora	Vl.Central	Assis	SP	Av	Rui Barbosa	1919	19800003	Av. Rui Barbosa, 1919 - Vl.Central, Assis - Assis, Brasil	-22,6615842	-50,4016796	Av. Rui Barbosa, 1919 - Centro, Assis - SP, Brazil
C L R Alarcon Depósito Me	C L R Alarcon Dep	Gopouva	Guarulhos	SP	R	Conêgo Valadão	432	7040000	R. Conêgo Valadão, 432 - Gopouva, Guarulhos - Guarulhos, Brasil	-23,467027	-46,5446181	R. Cônego Valadão, 432 - Gopouva, Guarulhos - SP, Brazil
C L Rocha	LCR	Fátima	Itabuna	BA	Av	Juracy Magalhaes	1090	45603555	Av. Juracy Magalhaes, 1090 - Fátima, Itabuna - Itabuna, Brasil	-14,7811599	-39,2653806	Av. Juraci Magalhães, 1090 - Alto Mirante, Itabuna - BA, Brazil
C M Comercial de Tintas Ltda	C M Comercial de Tintas Ltda	Sobradinho	Feira de Santana	BA	R	Voluntários da Pátria	650	44018000	R. Voluntários da Pátria, 650 - Sobradinho, Feira de Santana - Feira de Santana, Brasil	-12,2446349	-38,9691874	R. Voluntários da Pátria, 650 - Centro, Feira de Santana - BA, 44002-416, Brazil
C N L Materiais de Construção Ltda EPP	C N L Mat Constr	Botafogo	Bento Gonçalves	RS	R	Fortaleza	1300	95700000	R. Fortaleza, 1300 - Botafogo, Bento Gonçalves - Bento Gonçalves, Brasil	-29,1840219	-51,5075729	R. Fortaleza, 1300 - Santo Antão, Bento Gonçalves - RS, 95700-000, Brazil
C P Gaspar e Cia Ltda ME	C P Gaspar e Cia	Sítio Cercado	Curitiba	PR	R	Nova Aurora	2611	81920650	R. Nova Aurora, 2611 - Sítio Cercado, Curitiba - Curitiba, Brasil	-25,5376188	-49,2573792	R. Nova Aurora, 2611 - Sítio Cercado, Curitiba - PR, 81925-300, Brazil
C R Alves Benevides Mat de Construção ME	C R Alves Benevides Mat de Constr ME	Jd. Claudia	São Bernardo do Campo	SP	R	Candido Jose Casa	15	9850590	R. Candido Jose Casa, 15 - Jd. Claudia, São Bernardo do Campo - São Bernardo do Campo, Brasil	-23,7284933	-46,5770559	R. Cândido José Casa, 15 - Dos Casa, São Bernardo do Campo - SP, 09850-590, Brazil
C R Com de Materiais p/ Construção Ltda  ME	C R Com Mat	Centro	São Miguel do Guaporé	RO	Av	João Batista Figueiredo	2060	76932000	Av. João Batista Figueiredo, 2060 - Centro, São Miguel do Guaporé - São Miguel do Guaporé, Brasil	-11,7042214	-62,7108954	Av. João Batista de Figueiredo, 2060, São Miguel do Guaporé - RO, 76932-000, Brazil
C R de Abreu & Cia Ltda	Casa do Marceneiro	Centro	Itambé	PE	R	Pascoal Carrazzone	252	55920000	R. Pascoal Carrazzone, 252 - Centro, Itambé - Itambé, Brasil			
C Rolim Engenharia Ltda                      	C Rolim Engenharia	Centro	Fortaleza	CE	R	Pedro Borges 	20	60055900	R. Pedro Borges , 20 - Centro, Fortaleza - Fortaleza, Brasil	-3,7283808	-38,5272677	R. Pedro Borges, 20 - Centro, Fortaleza - CE, 60055-110, Brazil
C S Comercial Ltda	Comercial Paraíba	Centro	Mossoró	RN	Av	Alberto Maranhão	1750	59600972	Av. Alberto Maranhão, 1750 - Centro, Mossoró - Mossoró, Brasil	-5,1923054	-37,3449077	Av. Alberto Maranhão, 1750 - Centro, Mossoró - RN, Brazil
C S O Materiais de Construção Ltda EPP	C S O Materiais de Construção Ltda Epp	Centro	Poços de Caldas	MG	Av	Francisco Salles	1321	37701013	Av. Francisco Salles, 1321 - Centro, Poços de Caldas - Poços de Caldas, Brasil	-21,7865135	-46,5590378	Av. Francisco Sales, 1321 - Centro, Poços de Caldas - MG, Brazil
C V C Fortaleza Materiais p/ Constr Ltda Me	C V C Fortaleza M Constr Ltda ME	Vl. Santo Antônio	Jandira	SP	R	Fernando Pessoa 	316	6622175	R. Fernando Pessoa , 316 - Vl. Santo Antônio, Jandira - Jandira, Brasil	-23,5384417	-46,9076621	R. Fernando Pessoa, 316 - Jardim Santo Antônio, Jandira - SP, 06622-175, Brazil
C V Materiais Para Construção Ltda EPP	C V Mat Constr Ltda EPP	Santos Dumont	Itumbiara	GO	Av	Santos Dumont 	659	75532040	Av. Santos Dumont , 659 - Santos Dumont, Itumbiara - Itumbiara, Brasil	-18,4171859	-49,2296714	Av. Santos Dumont, 659 - St. Novo Horizonte, Itumbiara - GO, 75532-040, Brazil
C. F. Da C. Simões Eireli ME	C F da C Simões	Pedreira	Belém	PA	Av	Pedro Miranda	1290	68085022	Av. Pedro Miranda, 1290 - Pedreira, Belém - Belém, Brasil	-1,4285758	-48,4722355	Av. Pedro Miranda, 1290 - Pedreira, Belém - PA, 66085-022, Brazil
Cabral & Castilho Com de Tintas Ltda Epp	Cabral & Castilho	Centro	Mirassol	SP	R	Padre Ernesto	21-28	15130000	R. Padre Ernesto, 21-28 - Centro, Mirassol - Mirassol, Brasil	-20,8187738	-49,5092607	R. Padre Ernesto, 23-28 - Centro, Mirassol - SP, 15130-000, Brazil
Cacique Home Center Casa e Construção Ltda	Cacique Home Center Casa e Construção	Vl.Bretas	Governador Valadares	MG	Av	JK	1211	35030210	Av. JK, 1211 - Vl.Bretas, Governador Valadares - Governador Valadares, Brasil	-18,8719835	-41,9573671	Av. JK, 1211 - São Paulo, Gov. Valadares - MG, Brazil
Caçula Materiais para Construções Ltda	Caçula Materiais Constr	Agronomia	Porto Alegre	RS	Av	Bento Gonçalves	6385	91540000	Av. Bento Gonçalves, 6385 - Agronomia, Porto Alegre - Porto Alegre, Brasil	-30,0656694	-51,1518601	Av. Bento Gonçalves, 6385 - Partenon, Porto Alegre - RS, 90650-002, Brazil
Caesa Com Mat p/ Construção Ltda EPP	Caesa Com Mat Constr	Vl. Nova Sta. Isabel	Santa Isabel	SP	R	Ver Sebastião Claudiano	296	7500000	R. Ver Sebastião Claudiano, 296 - Vl. Nova Sta. Isabel, Santa Isabel - Santa Isabel, Brasil	-23,3145282	-46,2270868	R. Sebastião Claudiano, 262 - Recanto Imperial, Santa Isabel - SP, 07500-000, Brazil
Caetano de Boituva Mat p/ Construção Ltda	Caetano Boituva Mat Constr Ltda.	Centro	Boituva	SP	R	Cel Eugênio Mota	68	18550000	R. Cel Eugênio Mota, 68 - Centro, Boituva - Boituva, Brasil	-23,2847703	-47,674675	R. Cel. Eugênio Motta, 68 - Vila Ferriello, Boituva - SP, 18550-000, Brazil
Caetano e Scarpatt Ltda	Caetano e Sacarpatt	Jd. Presidente I	Cuiabá	MT	Rod	BR 364	7980	78090000	Rod. BR 364, 7980 - Jd. Presidente I, Cuiabá - Cuiabá, Brasil	-15,6251551	-56,0604115	BR-364, 7980 - Novo Horizonte, Cuiabá - MT, Brazil
Cafer Mat de Construção Ltda EPP	Cafer Mat Constr Ltda	Centro	Campos Novos	SC	R	Coronel Farrapo	1377	89620000	R. Coronel Farrapo, 1377 - Centro, Campos Novos - Campos Novos, Brasil	-27,397836	-51,222053	R. Cel. Farrapo, 1377 - Centro, Campos Novos - SC, 89620-000, Brazil
Caicara Materiais para Construção Ltda Epp	Caicara Mat Constr Ltda	Centro	Pariquera-Açu	SP	Av	Dr Carlos Botelho	387	11930000	Av. Dr Carlos Botelho, 387 - Centro, Pariquera-Açu - Pariquera-Açu, Brasil	-24,7209173	-47,8834051	R. Ivo Zanella, 387, Pariquera-Açu - SP, 11930-000, Brazil
Caio Renan Mendes Me	Caio Renan Mendes	Jd. Primavera	Mauá	SP	R	dos Jasmins	453	9361220	R. dos Jasmins, 453 - Jd. Primavera, Mauá - Mauá, Brasil	-23,7001377	-46,4567907	R. dos Jasmins, 453 - Jardim Primavera, Mauá - SP, 09361-220, Brazil
Caio Sanchez Vendruscolo Eireli Me	Caio S Vendruscolo Eireli	Jd. América	Ribeirão Preto	SP	Av	Nove de Julho	2300	14020170	Av. Nove de Julho, 2300 - Jd. América, Ribeirão Preto - Ribeirão Preto, Brasil	-21,194426	-47,799003	Av. Nove de Julho, 2300 - Jardim America, Ribeirão Preto - SP, 14020-170, Brazil
Calebe Ferreira Borges & Cia Ltda Epp	Calebe Ferreira Borges & Cia	Bela Vista	Peixoto de Azevedo	MT	Av	Rotary Internacional	380	78530000	Av. Rotary Internacional, 380 - Bela Vista, Peixoto de Azevedo - Peixoto de Azevedo, Brasil	-10,2492722	-54,9924607	Av. Rotary Internacional, 380 - Aeroporto, Peixoto de Azevedo - MT, 78530-000, Brazil
Calede Ahmad Youssef Me	Calede Ahmad Youssef Me.	Jd. Nazareth	São Paulo	SP	R	Geronimo Barbosa da Silva	48	8150590	R. Geronimo Barbosa da Silva, 48 - Jd. Nazareth, São Paulo - São Paulo, Brasil	-23,5204301	-46,3985094	Rua Gerônimo Barbosa da Silva, 48 - Jardim Nazareth, São Paulo - SP, 08150-590, Brazil
Calegari Materiais Construções Ltda	Calegari Materiais Construções Ltda	Barreiros	São José	SC	Rod	Br 101	3227	88113650	Rod. Br 101, 3227 - Barreiros, São José - São José, Brasil	-27,5753091	-48,6134261	BR-101, Brazil
Calhas Carrão Com Mat Hidráulicos Ltda Me	Calhas Carrao Com Mat Hidr	Tatuape	São Paulo	SP	Lg	São José do Maranhão	83	3089010	Lg. São José do Maranhão, 83 - Tatuape, São Paulo - São Paulo, Brasil	-23,5297759	-46,5606001	Largo São José do Maranhão, 83 - Maranhão, São Paulo - SP, 03089-010, Brazil
Calura Materiais para Construção Ltda EPP	Calura Mat Construção Ltda EPP	Alto da Boa Vista	Ribeirão Preto	SP	Av	Caramuru 	1983	14025080	Av. Caramuru , 1983 - Alto da Boa Vista, Ribeirão Preto - Ribeirão Preto, Brasil	-21,1957909	-47,8221256	Av. Caramuru, 1983 - Jardim Sumare, Ribeirão Preto - SP, 14025-080, Brazil
Camargao Materiais p/ Construção Ltda ME	Camargao Materiais p/ Construção Ltda ME	Centro	Salesópolis	SP	Av	Adhemar Bolina 	705	8970000	Av. Adhemar Bolina , 705 - Centro, Salesópolis - Salesópolis, Brasil	-23,5294164	-45,8543733	Av. Prof. Ademar Bolina, 705, Salesópolis - SP, 08970-000, Brazil
Cambaru Materiais para Construção Ltda	Cambaru Mat Construção Ltda	Centro	Naviraí	MS	Av	Campo Grande 	65	79950000	Av. Campo Grande , 65 - Centro, Naviraí - Naviraí, Brasil	-23,0608666	-54,2018246	Av. Campo Grande, 65 - Centro, Naviraí - MS, 79950-000, Brazil
Camilo & Ghisi Ltda	Camilo & Ghisi Ltda	Centro	Araranguá	SC	R	Caetano Lummertz	S/N	88900045	R. Caetano Lummertz, S/N - Centro, Araranguá - Araranguá, Brasil	-28,934756	-49,4825198	R. Caetano Lumertz - Centro, Araranguá - SC, Brazil
Camilotti Materiais para Construção Ltda Epp	Camilotti Mat Rede-SP-Construvip	Jd. Santo Antonio	Amparo	SP	R	Jofre Vieira da Rocha	143	13901230	R. Jofre Vieira da Rocha, 143 - Jd. Santo Antonio, Amparo - Amparo, Brasil	-22,6988886	-46,7725577	R. Jofre Vieira da Rocha, 143 - Jardim Santo Antonio, Amparo - SP, Brazil
Campea Ferro e Aço Ltda	Campea Ferro E Aco Ltda	Centro	Santo Ângelo	RS	R	Sao Carlos 	1327	98804370	R. Sao Carlos , 1327 - Centro, Santo Ângelo - Santo Ângelo, Brasil	-28,315716	-54,2556744	R. São Carlos, 1327 - São Carlos, Santo Ângelo - RS, 98804-370, Brazil
Campeão Comercio Ltda Epp	Campeão Comercio L E-Rede-MG-Casa Mais	Centro	Gonçalves	MG	R	Joaquim Ferreira Souza 	125	37680000	R. Joaquim Ferreira Souza , 125 - Centro, Gonçalves - Gonçalves, Brasil			
Campos Mat Construção e Transportes Ltda ME	Campos Mat Constr	Costeira	São José dos Pinhais	PR	R	Antonio Molleta Filho	21	83015500	R. Antonio Molleta Filho, 21 - Costeira, São José dos Pinhais - São José dos Pinhais, Brasil	-25,5717717	-49,1501385	R. Antônio Moleta Filho, 21 - Costeira, São José dos Pinhais - PR, 83015-500, Brazil
Campsou Material de Construção Ltda	Campsou Mat Const	Centro	Rolândia	PR	R	Arthur Thomaz	2760	86600000	R. Arthur Thomaz, 2760 - Centro, Rolândia - Rolândia, Brasil	-23,3173224	-51,3757353	Rua Arthur Thomas, 2760 - Jardim Terezinha, Rolândia - PR, 86600-000, Brazil
Canteiro de Obras Indústria e Comércio Ltda	Canteiro de Obras - BA - BR 407	Itaberaba	Juazeiro	BA	Rod	BR-407	S/N	48900000	Rod. BR-407, S/N - Itaberaba, Juazeiro - Juazeiro, Brasil	-9,4273723	-40,5047021	BR-407, Brazil
Canzi Comércio Materiais Construção Ltda EPP	Canzi Com Mat Construção Ltda ME	Centro	Francisco Beltrão	PR	R	Florianopolis 	365	85601560	R. Florianopolis , 365 - Centro, Francisco Beltrão - Francisco Beltrão, Brasil	-26,0736079	-53,0578796	R. Florianópolis, 365 - Alvorada, Francisco Beltrão - PR, 85601-560, Brazil
Capifer Com Materiais p/ Construção Ltda Me	Capifer Com Mat	Lot São Luís	Capivari	SP	Al	Faustina Franchi Annicchino	650	13360000	Al. Faustina Franchi Annicchino, 650 - Lot São Luís, Capivari - Capivari, Brasil			
Caproni & Dias Ltda EPP	Caproni & Dias Ltda-Rede-MG-Casa Mais	Centro	Machado	MG	Av	Artur Bernardes	335	37750000	Av. Artur Bernardes, 335 - Centro, Machado - Machado, Brasil	-21,6763109	-45,9176798	Av. Artur Bernardes, 335, Machado - MG, 37750-000, Brazil
Caraguata de Cubatão Mat para Constr Ltda Me	Caraguata de Cubatao Mat Constr	Vl.Caraguata	Cubatão	SP	R	José de Castro	128	11535010	R. José de Castro, 128 - Vl.Caraguata, Cubatão - Cubatão, Brasil	-23,9346223	-46,4282006	R. José de Castro, 128 - Ilha Caraguatá, Cubatão - SP, Brazil
Cardão Comércio e Importação Ltda	Cardao Com	Chacaras Arcampo	Duque de Caxias	RJ	R	Simão Dias	S/n	25251000	R. Simão Dias, S/n - Chacaras Arcampo, Duque de Caxias - Duque de Caxias, Brasil	-22,6628419	-43,2777481	R. Simões Dias - Chácaras Arcampo, Duque de Caxias - RJ, Brazil
Cardil Comércio de Materiais Construção Ltda	Cardil Com Mat Constr Ltda	Ribeiro	Lins	SP	Av	Nilo Noronha 	1020	16401449	Av. Nilo Noronha , 1020 - Ribeiro, Lins - Lins, Brasil	-21,6637776	-49,7419768	Av. Nilo Noronha, 1020 - Parque Ferroviario, Lins - SP, Brazil
Cardillo & Cardillo Ltda ME	Cardillo & Cardillo Ltda Me.	Vl. Yara	Osasco	SP	R	Santa Terezinha 	271	6026040	R. Santa Terezinha , 271 - Vl. Yara, Osasco - Osasco, Brasil	-23,5494808	-46,7628958	R. Santa Teresinha, 271 - Vila Yara, Osasco - SP, 06026-040, Brazil
Caribé e Brunoro Ltda	Caribé e Brunoro	Arraial D`Ajuda	Porto Seguro	BA	Estr	Trancoso	2261	45816000	Estr. Trancoso, 2261 - Arraial D`Ajuda, Porto Seguro - Porto Seguro, Brasil	-16,5362673	-39,0829718	Estr. de Trancoso, Porto Seguro - BA, Brazil
Carina Alves Viegas ME	Carina Alves Viegas	Jd Boer I	Americana	SP	R	Exito	9	13477682	R. Exito, 9 - Jd Boer I, Americana - Americana, Brasil	-22,739759	-47,2892601	R. Exito - Jardim Boer I, Americana - SP, 13477-682, Brazil
Carina Fernanda de Abreu ME	Carina Fernanda de Abreu ME	Jd. Boa Vista	Orlândia	SP	Av	I	625	14620000	Av. I, 625 - Jd. Boa Vista, Orlândia - Orlândia, Brasil	-20,7157702	-47,8720661	Av. I, 625 - Jardim Benini, Orlândia - SP, 14620-000, Brazil
Carla Elaine H Miguel Galhardi Me	Carla Elaine H Miguel	Jd. Pereira	Matão	SP	Al	da  Saudade	140	15990842	Al. da  Saudade, 140 - Jd. Pereira, Matão - Matão, Brasil	-21,598979	-48,3770825	Alameda da Saudade, 140 - Centro, Matão - SP, Brazil
Carlitos Materiais para Construção Ltda EPP	Carlitos Mat Constr	Gramado	Porto Feliz	SP	NULL	Sit Bela Vista	S/n	18540000	NULL. Sit Bela Vista, S/n - Gramado, Porto Feliz - Porto Feliz, Brasil			
Carlos Alberto de Campos Porto Feliz ME	Carlos Alberto de Campos Porto Feliz	Gramado	Porto Feliz	SP	NULL	Loc Sítio Bela Vista	S/n	18540000	NULL. Loc Sítio Bela Vista, S/n - Gramado, Porto Feliz - Porto Feliz, Brasil			
Carlos Alberto Shigueu Ueno Me	Carlos Alberto	Centro	Presidente Epitácio	SP	R	Fortaleza	jun/64	19470000	R. Fortaleza, 6-64 - Centro, Presidente Epitácio - Presidente Epitácio, Brasil	-21,7714319	-52,1154579	R. Fortaleza, 6, Pres. Epitácio - SP, 19470-000, Brazil
Carlos Augusto Araújo Barbosa	Abal	Centro	Medeiros Neto	BA	R	Teixeira de Freitas	5	45960000	R. Teixeira de Freitas, 5 - Centro, Medeiros Neto - Medeiros Neto, Brasil	-17,375048	-40,2213032	R. Teixeira de Freitas, 5, Medeiros Neto - BA, 45960-000, Brazil
Carlos Garcia Oliveira Reberte ME	Carlos G O Reberte - Rede -MG- Construir	Centro	Inconfidentes	MG	R	Claudio Manoel da Costa	103	37576000	R. Claudio Manoel da Costa, 103 - Centro, Inconfidentes - Inconfidentes, Brasil	-22,3184776	-46,3246394	R. Cláudio Manoel da Costa, 103, Inconfidentes - MG, 37576-000, Brazil
Carlos Geovane Machado da Silva EPP	Carlos Geovane Machado da Silva EPP	Centro	Bagé	RS	R	General João Teles	1230	96400030	R. General João Teles, 1230 - Centro, Bagé - Bagé, Brasil	-31,3269	-54,1018286	R. Gen. João Téles, 1230 - São Jorge, Bagé - RS, Brazil
Carlos Roberto Pires Correia ME	Carlos Roberto Pires Correia Me	Além Ponte	Sorocaba	SP	Av	Eng Carlos Reinaldo Mendes 	1217	18013280	Av. Eng Carlos Reinaldo Mendes , 1217 - Além Ponte, Sorocaba - Sorocaba, Brasil	-23,4862363	-47,4331013	Av. Eng. Carlos Reinaldo Mendes, 1217 - Além Ponte, Sorocaba - SP, Brazil
Carlos Zeni & Cia Ltda	Carlos Zeni & Cia	Centro	Araras	SP	R	Visconde do Rio Branco	624	13600080	R. Visconde do Rio Branco, 624 - Centro, Araras - Araras, Brasil	-22,3539928	-47,3862473	Rua Visconde do Rio Branco, 624 - Centro, Araras - SP, 13603-080, Brazil
Carmel Carpina Material Elétrico Ltda	Carmel	São José	Carpina	PE	Av	Estácio Coimbra	614	55815000	Av. Estácio Coimbra, 614 - São José, Carpina - Carpina, Brasil	-7,8451864	-35,2556225	Av. Estácio Coimbra, 614 - São José, Carpina - PE, Brazil
Carmo Gomes & Gomes Tintas Ltda ME	Carmo Gomes & Gomes	Centro	Cajuru	SP	R	José Bonifácio	335	14240000	R. José Bonifácio, 335 - Centro, Cajuru - Cajuru, Brasil	-21,2715498	-47,3030347	R. José Bonifácio, 335 - Jardim Renascenca, Cajuru - SP, 14240-000, Brazil
Carmo Sion Mad e Mat de Construção Ltda Me	Carmo Sion Mad	Jd Canadá	Nova Lima	MG	Av	Toronto	1270	34000000	Av. Toronto, 1270 - Jd Canadá, Nova Lima - Nova Lima, Brasil	-20,069249	-43,982968	Av. Toronto, 1270 - Jardim Canada, Nova Lima - MG, 34000-000, Brazil
